bucket_start_min,bucket_time,normalized_volume,avg_volume,realized_volatility,liquidity_regime,total_expected_volume_over_horizon,target_order_participation,max_participation_rate,recommended_parent_order_size,configured_parent_order_size,feasible_max_order_size,is_participation_feasible
1080,18:00,0.00856199052074599,295690.10169491527,0.0015832591725200365,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1085,18:05,0.009787393463089896,338009.6440677966,0.0010135097288576037,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1090,18:10,0.007458437690171659,257578.6779661017,0.000731104707601713,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1095,18:15,0.007957146175486315,274801.6779661017,0.0009726798133004088,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1100,18:20,0.007497343211421179,258922.28813559323,0.0008766516529335601,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1105,18:25,0.007738478133286732,267249.9322033898,0.0007595629009728317,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1110,18:30,0.00825796080160154,285190.3728813559,0.0010557953553498067,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1115,18:35,0.008197939515189094,283117.5254237288,0.0009384083774065642,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1120,18:40,0.0074321859230928695,256672.06779661018,0.0009153256123417642,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1125,18:45,0.007986066798601268,275800.4576271186,0.0008600407836896127,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1130,18:50,0.007518976257617962,259669.38983050847,0.0007764872248049877,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1135,18:55,0.007752485455855357,267733.6779661017,0.0008115247951345564,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1140,19:00,0.009287940956857471,320760.9491525424,0.0010703260711203892,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1145,19:05,0.009348231190145205,322843.0847457627,0.0008245103612272241,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1150,19:10,0.0096592446940257,333584.0,0.0008727829114526107,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1155,19:15,0.010319562276987423,356388.2033898305,0.0011736225052069525,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1160,19:20,0.009887677765381513,341472.9830508475,0.001084244251840864,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1165,19:25,0.009947542493302685,343540.42372881353,0.0009797787116130505,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1170,19:30,0.010925219842999566,377304.71186440677,0.0011188550766487605,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1175,19:35,0.010921644518206725,377181.23728813557,0.000836675111266731,normal_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1180,19:40,0.013079870066329661,451716.0,0.0009812312902003988,high_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1185,19:45,0.01364025768941575,471069.10169491527,0.000833529554218683,high_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1190,19:50,0.028864512846149354,996841.8813559322,0.0021966944357435557,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
1195,19:55,0.06975186239423645,2408894.8983050846,0.0019494565375847283,stressed_liquidity,34535205.45,0.05,0.1,1726760.2725000002,1726760.2725000002,2762816.4360000007,True
